SampleCode,Compound,Category1,Category2,Formula,Halogenation,RetentionTime1D,RetentionTime2D,InternalStandard,Sample,Ecotype,Instrument,RelativeArea
DSJ2195,chlordane related 1,anthropogenic,Chlordane-related,C10H6Cl6,chlorinated,1198.16,1.181,PCB 169,SoCal dolphin blubber D2,offshore,"GCxGC-TOF, EI, 70 eV",0.082336041
NEB0016,chlordane related 1,anthropogenic,Chlordane-related,C10H6Cl6,chlorinated,1198.16,1.175,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",0.025566402
JEH0504,chlordane related 1,anthropogenic,Chlordane-related,C10H6Cl6,chlorinated,1198.16,1.201,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",0.077283671
JEH0472,chlordane related 1,anthropogenic,Chlordane-related,C10H6Cl6,chlorinated,1201.66,1.181,PCB 169,SoCal dolphin blubber D5,coastal,"GCxGC-TOF, EI, 70 eV",0.186883895
DSJ2155,chlordane related 1,anthropogenic,Chlordane-related,C10H6Cl6,chlorinated,1198.16,1.195,PCB 169,SoCal dolphin blubber D6,offshore,"GCxGC-TOF, EI, 70 eV",0.076311995
DSJ1765,chlordane related 1,anthropogenic,Chlordane-related,C10H6Cl6,chlorinated,1198.16,1.201,PCB 169,SoCal dolphin blubber D7,offshore,"GCxGC-TOF, EI, 70 eV",0.105646435
KXD0003,chlordane related 1,anthropogenic,Chlordane-related,C10H6Cl6,chlorinated,1198.16,1.188,PCB 169,SoCal dolphin blubber D8,coastal,"GCxGC-TOF, EI, 70 eV",0.131228614
JEH0472,hydroxychlordene,anthropogenic,Chlordane-related,C10H6Cl6O,chlorinated,1201.66,1.201,PCB 169,SoCal dolphin blubber D5,coastal,"GCxGC-TOF, EI, 70 eV",0.008766769
NEB0016,hydroxychlordene,anthropogenic,Chlordane-related,C10H6Cl6O,chlorinated,1198.16,1.195,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",0.002577992
KXD0003,hydroxychlordene,anthropogenic,Chlordane-related,C10H6Cl6O,chlorinated,1198.16,1.214,PCB 169,SoCal dolphin blubber D8,coastal,"GCxGC-TOF, EI, 70 eV",0.013520652
KZP0086,chlordane related 2,anthropogenic,Chlordane-related,C10H8Cl6,chlorinated,1226.14,1.208,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",0.00889034
DSJ2195,chlordane related 2,anthropogenic,Chlordane-related,C10H8Cl6,chlorinated,1226.14,1.201,PCB 169,SoCal dolphin blubber D2,offshore,"GCxGC-TOF, EI, 70 eV",0.013656377
JEH0504,chlordane related 2,anthropogenic,Chlordane-related,C10H8Cl6,chlorinated,1226.14,1.208,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",0.01566937
KZP0086,chlordane related 3,anthropogenic,Chlordane-related,C10H8Cl6,chlorinated,1261.12,1.274,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",0.022060635
JEH0504,chlordane related 3,anthropogenic,Chlordane-related,C10H8Cl6,chlorinated,1261.12,1.274,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",0.016280814
KZP0086,chlordene 1,anthropogenic,Chlordane-related,C10H6Cl6,chlorinated,1439.52,0.957,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",0.005317068
DSJ2195,chlordene 1,anthropogenic,Chlordane-related,C10H6Cl6,chlorinated,1439.52,0.95,PCB 169,SoCal dolphin blubber D2,offshore,"GCxGC-TOF, EI, 70 eV",0.008301501
JEH0504,chlordene 1,anthropogenic,Chlordane-related,C10H6Cl6,chlorinated,1439.52,0.95,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",0.002826024
KZP0086,chlordene 2,anthropogenic,Chlordane-related,C10H6Cl6,chlorinated,1446.52,0.95,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",0.007041271
NEB0016,chlordane related 4,anthropogenic,Chlordane-related,C10H7Cl7,chlorinated,1264.62,1.195,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",0.006501915
DSJ2155,chlordane related 4,anthropogenic,Chlordane-related,C10H7Cl7,chlorinated,1264.62,1.214,PCB 169,SoCal dolphin blubber D6,offshore,"GCxGC-TOF, EI, 70 eV",0.014027028
DSJ2155,chlordane related 5,anthropogenic,Chlordane-related,C10H5Cl7O,chlorinated,1320.59,1.32,PCB 169,SoCal dolphin blubber D6,offshore,"GCxGC-TOF, EI, 70 eV",0.007245976
KZP0086,chlordane related 6,anthropogenic,Chlordane-related,C10H7Cl7,chlorinated,1327.58,1.353,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",0.665742675
DSJ2195,chlordane related 6,anthropogenic,Chlordane-related,C10H7Cl7,chlorinated,1331.08,1.366,PCB 169,SoCal dolphin blubber D2,offshore,"GCxGC-TOF, EI, 70 eV",0.079349298
NEB0016,chlordane related 6,anthropogenic,Chlordane-related,C10H7Cl7,chlorinated,1327.58,1.313,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",0.172452711
JEH0504,chlordane related 6,anthropogenic,Chlordane-related,C10H7Cl7,chlorinated,1327.58,1.333,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",0.391541093
JEH0472,chlordane related 6,anthropogenic,Chlordane-related,C10H7Cl7,chlorinated,1331.08,1.393,PCB 169,SoCal dolphin blubber D5,coastal,"GCxGC-TOF, EI, 70 eV",0.723093663
DSJ2155,chlordane related 6,anthropogenic,Chlordane-related,C10H7Cl7,chlorinated,1324.09,1.333,PCB 169,SoCal dolphin blubber D6,offshore,"GCxGC-TOF, EI, 70 eV",0.243950423
DSJ1765,chlordane related 6,anthropogenic,Chlordane-related,C10H7Cl7,chlorinated,1327.58,1.34,PCB 169,SoCal dolphin blubber D7,offshore,"GCxGC-TOF, EI, 70 eV",0.255029554
KXD0003,chlordane related 6,anthropogenic,Chlordane-related,C10H7Cl7,chlorinated,1327.58,1.327,PCB 169,SoCal dolphin blubber D8,coastal,"GCxGC-TOF, EI, 70 eV",0.610963968
DSJ2195,chlordane related 7,anthropogenic,Chlordane-related,C10H7Cl7,chlorinated,1450.01,1.432,PCB 169,SoCal dolphin blubber D2,offshore,"GCxGC-TOF, EI, 70 eV",0.035177389
JEH0504,chlordane related 8,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1278.61,1.195,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",0.009405424
JEH0472,chlordane related 8,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1282.11,1.181,PCB 169,SoCal dolphin blubber D5,coastal,"GCxGC-TOF, EI, 70 eV",0.040550139
KZP0086,chlordane related 9,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1296.1,1.208,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",1.529343642
DSJ2195,chlordane related 9,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1296.1,1.195,PCB 169,SoCal dolphin blubber D2,offshore,"GCxGC-TOF, EI, 70 eV",0.330282022
NEB0016,chlordane related 9,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1296.1,1.195,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",0.045094631
JEH0504,chlordane related 9,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1292.6,1.214,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",1.000606873
JEH0472,chlordane related 9,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1299.6,1.195,PCB 169,SoCal dolphin blubber D5,coastal,"GCxGC-TOF, EI, 70 eV",1.39791845
DSJ2155,chlordane related 9,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1292.6,1.201,PCB 169,SoCal dolphin blubber D6,offshore,"GCxGC-TOF, EI, 70 eV",0.704700492
DSJ1765,chlordane related 9,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1296.1,1.208,PCB 169,SoCal dolphin blubber D7,offshore,"GCxGC-TOF, EI, 70 eV",1.019225367
KXD0003,chlordane related 9,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1292.6,1.201,PCB 169,SoCal dolphin blubber D8,coastal,"GCxGC-TOF, EI, 70 eV",1.487243492
KZP0086,oxychlordane,anthropogenic,Chlordane-related,C10H4Cl8O,chlorinated,1310.09,1.241,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",0.555681924
NEB0016,oxychlordane,anthropogenic,Chlordane-related,C10H4Cl8O,chlorinated,1306.6,1.228,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",0.108255258
JEH0504,oxychlordane,anthropogenic,Chlordane-related,C10H4Cl8O,chlorinated,1306.6,1.247,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",0.386383372
JEH0472,oxychlordane,anthropogenic,Chlordane-related,C10H4Cl8O,chlorinated,1310.09,1.247,PCB 169,SoCal dolphin blubber D5,coastal,"GCxGC-TOF, EI, 70 eV",0.630181825
DSJ2155,oxychlordane,anthropogenic,Chlordane-related,C10H4Cl8O,chlorinated,1306.6,1.241,PCB 169,SoCal dolphin blubber D6,offshore,"GCxGC-TOF, EI, 70 eV",0.134336966
DSJ1765,oxychlordane,anthropogenic,Chlordane-related,C10H4Cl8O,chlorinated,1306.6,1.247,PCB 169,SoCal dolphin blubber D7,offshore,"GCxGC-TOF, EI, 70 eV",0.20035229
KXD0003,oxychlordane,anthropogenic,Chlordane-related,C10H4Cl8O,chlorinated,1306.6,1.234,PCB 169,SoCal dolphin blubber D8,coastal,"GCxGC-TOF, EI, 70 eV",0.586395356
KZP0086,chlordane related 10,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1324.09,1.241,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",0.745060338
DSJ2195,chlordane related 10,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1327.58,1.208,PCB 169,SoCal dolphin blubber D2,offshore,"GCxGC-TOF, EI, 70 eV",0.184984336
NEB0016,chlordane related 10,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1320.59,1.214,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",0.051595413
JEH0504,chlordane related 10,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1324.09,1.234,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",0.538848689
JEH0472,chlordane related 10,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1327.58,1.221,PCB 169,SoCal dolphin blubber D5,coastal,"GCxGC-TOF, EI, 70 eV",1.003638723
DSJ2155,chlordane related 10,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1324.09,1.228,PCB 169,SoCal dolphin blubber D6,offshore,"GCxGC-TOF, EI, 70 eV",0.685898228
DSJ1765,chlordane related 10,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1324.09,1.241,PCB 169,SoCal dolphin blubber D7,offshore,"GCxGC-TOF, EI, 70 eV",0.551911841
KXD0003,chlordane related 10,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1324.09,1.221,PCB 169,SoCal dolphin blubber D8,coastal,"GCxGC-TOF, EI, 70 eV",0.967183385
KZP0086,gamma chlordane,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1338.08,1.34,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",0.184021827
DSJ2195,gamma chlordane,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1341.58,1.294,PCB 169,SoCal dolphin blubber D2,offshore,"GCxGC-TOF, EI, 70 eV",0.073260937
NEB0016,gamma chlordane,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1338.08,1.254,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",0.090572612
JEH0504,gamma chlordane,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1341.58,1.254,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",0.218762785
JEH0472,gamma chlordane,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1341.58,1.439,PCB 169,SoCal dolphin blubber D5,coastal,"GCxGC-TOF, EI, 70 eV",0.338563143
DSJ1765,gamma chlordane,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1338.08,1.287,PCB 169,SoCal dolphin blubber D7,offshore,"GCxGC-TOF, EI, 70 eV",0.317357959
KXD0003,gamma chlordane,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1341.58,1.241,PCB 169,SoCal dolphin blubber D8,coastal,"GCxGC-TOF, EI, 70 eV",0.259101309
KZP0086,alpha chlordane,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1352.07,1.3,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",0.648762993
NEB0016,alpha chlordane,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1348.57,1.294,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",0.164264863
JEH0504,alpha chlordane,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1352.07,1.28,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",0.724681763
JEH0472,alpha chlordane,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1352.07,1.34,PCB 169,SoCal dolphin blubber D5,coastal,"GCxGC-TOF, EI, 70 eV",0.663324116
DSJ2155,alpha chlordane,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1348.57,1.3,PCB 169,SoCal dolphin blubber D6,offshore,"GCxGC-TOF, EI, 70 eV",0.936252933
DSJ1765,alpha chlordane,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1348.57,1.294,PCB 169,SoCal dolphin blubber D7,offshore,"GCxGC-TOF, EI, 70 eV",1.682760163
KXD0003,alpha chlordane,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1348.57,1.294,PCB 169,SoCal dolphin blubber D8,coastal,"GCxGC-TOF, EI, 70 eV",0.66884298
KZP0086,chlordane related 11,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1394.05,1.373,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",0.021525973
JEH0504,chlordane related 11,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1397.54,1.36,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",0.020915309
DSJ2155,chlordane related 11,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1390.55,1.346,PCB 169,SoCal dolphin blubber D6,offshore,"GCxGC-TOF, EI, 70 eV",0.02809592
JEH0472,chlordane related 12,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1422.03,1.432,PCB 169,SoCal dolphin blubber D5,coastal,"GCxGC-TOF, EI, 70 eV",0.036591695
KZP0086,chlordane related 13,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1446.52,1.465,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",0.045980965
NEB0016,chlordane related 13,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1443.02,1.445,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",0.008947109
JEH0504,chlordane related 13,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1446.52,1.459,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",0.033425557
DSJ2155,chlordane related 13,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1443.02,1.459,PCB 169,SoCal dolphin blubber D6,offshore,"GCxGC-TOF, EI, 70 eV",0.014241578
KXD0003,chlordane related 13,anthropogenic,Chlordane-related,C10H6Cl8,chlorinated,1443.02,1.452,PCB 169,SoCal dolphin blubber D8,coastal,"GCxGC-TOF, EI, 70 eV",0.015354392
KZP0086,chlordane related 14,anthropogenic,Chlordane-related,C10H4Cl10,chlorinated,1408.04,1.274,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",0.153122659
DSJ2195,chlordane related 14,anthropogenic,Chlordane-related,C10H4Cl10,chlorinated,1408.04,1.261,PCB 169,SoCal dolphin blubber D2,offshore,"GCxGC-TOF, EI, 70 eV",0.060165216
NEB0016,chlordane related 14,anthropogenic,Chlordane-related,C10H4Cl10,chlorinated,1404.54,1.267,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",0.026247375
JEH0472,chlordane related 14,anthropogenic,Chlordane-related,C10H4Cl10,chlorinated,1411.54,1.267,PCB 169,SoCal dolphin blubber D5,coastal,"GCxGC-TOF, EI, 70 eV",0.089650336
DSJ1765,chlordane related 14,anthropogenic,Chlordane-related,C10H4Cl10,chlorinated,1408.04,1.267,PCB 169,SoCal dolphin blubber D7,offshore,"GCxGC-TOF, EI, 70 eV",0.133922769
KZP0086,chlordane related 15,anthropogenic,Chlordane-related,C11H6Cl10,chlorinated,1453.51,1.346,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",0.011174942
NEB0016,chlordane related 15,anthropogenic,Chlordane-related,C11H6Cl10,chlorinated,1450.01,1.32,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",0.000674858
JEH0504,chlordane related 15,anthropogenic,Chlordane-related,C11H6Cl10,chlorinated,1453.51,1.32,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",0.015588757
JEH0472,chlordane related 15,anthropogenic,Chlordane-related,C11H6Cl10,chlorinated,1457.01,1.313,PCB 169,SoCal dolphin blubber D5,coastal,"GCxGC-TOF, EI, 70 eV",0.014027652
DSJ2155,chlordane related 15,anthropogenic,Chlordane-related,C11H6Cl10,chlorinated,1453.51,1.32,PCB 169,SoCal dolphin blubber D6,offshore,"GCxGC-TOF, EI, 70 eV",0.008831952
DSJ1765,chlordane related 15,anthropogenic,Chlordane-related,C11H6Cl10,chlorinated,1453.51,1.327,PCB 169,SoCal dolphin blubber D7,offshore,"GCxGC-TOF, EI, 70 eV",0.033128894
KXD0003,chlordane related 15,anthropogenic,Chlordane-related,C11H6Cl10,chlorinated,1453.51,1.32,PCB 169,SoCal dolphin blubber D8,coastal,"GCxGC-TOF, EI, 70 eV",0.002117254
KZP0086,trans nonachlor,anthropogenic,Chlordane-related,C10H5Cl9,chlorinated,1355.57,1.274,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",7.161920562
DSJ2195,trans nonachlor,anthropogenic,Chlordane-related,C10H5Cl9,chlorinated,1355.57,1.393,PCB 169,SoCal dolphin blubber D2,offshore,"GCxGC-TOF, EI, 70 eV",1.222027192
NEB0016,trans nonachlor,anthropogenic,Chlordane-related,C10H5Cl9,chlorinated,1352.07,1.241,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",3.214267435
JEH0504,trans nonachlor,anthropogenic,Chlordane-related,C10H5Cl9,chlorinated,1355.57,1.267,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",6.021919127
JEH0472,trans nonachlor,anthropogenic,Chlordane-related,C10H5Cl9,chlorinated,1359.07,1.267,PCB 169,SoCal dolphin blubber D5,coastal,"GCxGC-TOF, EI, 70 eV",5.649286474
DSJ2155,trans nonachlor,anthropogenic,Chlordane-related,C10H5Cl9,chlorinated,1352.07,1.254,PCB 169,SoCal dolphin blubber D6,offshore,"GCxGC-TOF, EI, 70 eV",9.343062887
DSJ1765,trans nonachlor,anthropogenic,Chlordane-related,C10H5Cl9,chlorinated,1352.07,1.261,PCB 169,SoCal dolphin blubber D7,offshore,"GCxGC-TOF, EI, 70 eV",11.58148505
KXD0003,trans nonachlor,anthropogenic,Chlordane-related,C10H5Cl9,chlorinated,1352.07,1.28,PCB 169,SoCal dolphin blubber D8,coastal,"GCxGC-TOF, EI, 70 eV",9.07537922
KZP0086,cis nonachlor,anthropogenic,Chlordane-related,C10H5Cl9,chlorinated,1425.53,1.36,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",1.593088017
DSJ2195,cis nonachlor,anthropogenic,Chlordane-related,C10H5Cl9,chlorinated,1425.53,1.346,PCB 169,SoCal dolphin blubber D2,offshore,"GCxGC-TOF, EI, 70 eV",1.241795934
NEB0016,cis nonachlor,anthropogenic,Chlordane-related,C10H5Cl9,chlorinated,1422.03,1.333,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",0.709651253
JEH0504,cis nonachlor,anthropogenic,Chlordane-related,C10H5Cl9,chlorinated,1425.53,1.353,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",1.319194589
JEH0472,cis nonachlor,anthropogenic,Chlordane-related,C10H5Cl9,chlorinated,1429.03,1.393,PCB 169,SoCal dolphin blubber D5,coastal,"GCxGC-TOF, EI, 70 eV",1.698810323
DSJ2155,cis nonachlor,anthropogenic,Chlordane-related,C10H5Cl9,chlorinated,1422.03,1.34,PCB 169,SoCal dolphin blubber D6,offshore,"GCxGC-TOF, EI, 70 eV",2.108107777
DSJ1765,cis nonachlor,anthropogenic,Chlordane-related,C10H5Cl9,chlorinated,1422.03,1.353,PCB 169,SoCal dolphin blubber D7,offshore,"GCxGC-TOF, EI, 70 eV",2.608911576
KXD0003,cis nonachlor,anthropogenic,Chlordane-related,C10H5Cl9,chlorinated,1422.03,1.34,PCB 169,SoCal dolphin blubber D8,coastal,"GCxGC-TOF, EI, 70 eV",1.507684351
KZP0086,heptachlor related 1,anthropogenic,Heptachlor-related,C10H4Cl8,chlorinated,1278.61,1.201,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",0.032624369
JEH0504,heptachlor related 1,anthropogenic,Heptachlor-related,C10H4Cl8,chlorinated,1275.11,1.228,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",0.027698981
KXD0003,heptachlor related 1,anthropogenic,Heptachlor-related,C10H4Cl8,chlorinated,1275.11,1.195,PCB 169,SoCal dolphin blubber D8,coastal,"GCxGC-TOF, EI, 70 eV",0.017620699
KZP0086,heptachlor related 2,anthropogenic,Heptachlor-related,C10H5Cl7,chlorinated,1285.61,1.3,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",0.059028721
DSJ2195,heptachlor related 2,anthropogenic,Heptachlor-related,C10H5Cl7,chlorinated,1289.11,1.28,PCB 169,SoCal dolphin blubber D2,offshore,"GCxGC-TOF, EI, 70 eV",0.04731982
NEB0016,heptachlor related 2,anthropogenic,Heptachlor-related,C10H5Cl7,chlorinated,1285.61,1.28,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",0.012082818
JEH0504,heptachlor related 2,anthropogenic,Heptachlor-related,C10H5Cl7,chlorinated,1285.61,1.3,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",0.051276045
JEH0472,heptachlor related 2,anthropogenic,Heptachlor-related,C10H5Cl7,chlorinated,1292.6,1.274,PCB 169,SoCal dolphin blubber D5,coastal,"GCxGC-TOF, EI, 70 eV",0.038032268
DSJ2155,heptachlor related 2,anthropogenic,Heptachlor-related,C10H5Cl7,chlorinated,1285.61,1.294,PCB 169,SoCal dolphin blubber D6,offshore,"GCxGC-TOF, EI, 70 eV",0.038567788
DSJ1765,heptachlor related 2,anthropogenic,Heptachlor-related,C10H5Cl7,chlorinated,1285.61,1.307,PCB 169,SoCal dolphin blubber D7,offshore,"GCxGC-TOF, EI, 70 eV",0.051883379
KXD0003,heptachlor related 2,anthropogenic,Heptachlor-related,C10H5Cl7,chlorinated,1285.61,1.287,PCB 169,SoCal dolphin blubber D8,coastal,"GCxGC-TOF, EI, 70 eV",0.04861984
KZP0086,heptachlor epoxide,anthropogenic,Heptachlor-related,C10H5Cl7O,chlorinated,1306.6,1.287,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",0.988985938
DSJ2195,heptachlor epoxide,anthropogenic,Heptachlor-related,C10H5Cl7O,chlorinated,1310.09,1.267,PCB 169,SoCal dolphin blubber D2,offshore,"GCxGC-TOF, EI, 70 eV",0.306189189
NEB0016,heptachlor epoxide,anthropogenic,Heptachlor-related,C10H5Cl7O,chlorinated,1306.6,1.267,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",0.285610649
JEH0504,heptachlor epoxide,anthropogenic,Heptachlor-related,C10H5Cl7O,chlorinated,1313.59,1.267,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",0.601015113
JEH0472,heptachlor epoxide,anthropogenic,Heptachlor-related,C10H5Cl7O,chlorinated,1310.09,1.28,PCB 169,SoCal dolphin blubber D5,coastal,"GCxGC-TOF, EI, 70 eV",0.475056588
DSJ2155,heptachlor epoxide,anthropogenic,Heptachlor-related,C10H5Cl7O,chlorinated,1306.6,1.28,PCB 169,SoCal dolphin blubber D6,offshore,"GCxGC-TOF, EI, 70 eV",0.266798133
DSJ1765,heptachlor epoxide,anthropogenic,Heptachlor-related,C10H5Cl7O,chlorinated,1306.6,1.287,PCB 169,SoCal dolphin blubber D7,offshore,"GCxGC-TOF, EI, 70 eV",0.373991797
KXD0003,heptachlor epoxide,anthropogenic,Heptachlor-related,C10H5Cl7O,chlorinated,1306.6,1.274,PCB 169,SoCal dolphin blubber D8,coastal,"GCxGC-TOF, EI, 70 eV",0.838103465
DSJ2155,heptachlor related 3,anthropogenic,Heptachlor-related,C10H4Cl8,chlorinated,1338.08,1.327,PCB 169,SoCal dolphin blubber D6,offshore,"GCxGC-TOF, EI, 70 eV",0.175946686
DSJ1765,heptachlor related 3,anthropogenic,Heptachlor-related,C10H4Cl8,chlorinated,1338.08,1.34,PCB 169,SoCal dolphin blubber D7,offshore,"GCxGC-TOF, EI, 70 eV",0.215688752
KXD0003,heptachlor related 3,anthropogenic,Heptachlor-related,C10H4Cl8,chlorinated,1338.08,1.32,PCB 169,SoCal dolphin blubber D8,coastal,"GCxGC-TOF, EI, 70 eV",0.125619394
KZP0086,DDT related 1,anthropogenic,DDT-related,C13H10Cl2,chlorinated,1166.68,1.221,PCB 169,SoCal dolphin blubber D1,coastal,"GCxGC-TOF, EI, 70 eV",0.015842611
DSJ2195,DDT related 1,anthropogenic,DDT-related,C13H10Cl2,chlorinated,1173.67,1.234,PCB 169,SoCal dolphin blubber D2,offshore,"GCxGC-TOF, EI, 70 eV",0.013166359
NEB0016,DDT related 1,anthropogenic,DDT-related,C13H10Cl2,chlorinated,1166.68,1.195,PCB 169,SoCal dolphin blubber D3,coastal,"GCxGC-TOF, EI, 70 eV",0.001878256
JEH0504,DDT related 1,anthropogenic,DDT-related,C13H10Cl2,chlorinated,1166.68,1.228,PCB 169,SoCal dolphin blubber D4,offshore,"GCxGC-TOF, EI, 70 eV",0.022816563
DSJ2155,DDT related 1,anthropogenic,DDT-related,C13H10Cl2,chlorinated,1166.68,1.214,PCB 169,SoCal dolphin blubber D6,offshore,"GCxGC-TOF, EI, 70 eV",0.011574804
